"time [h]",P1,P1,P1,P1,P1,P1,P1,P1,P1,P1,P1,P1,P1,P1,P1,P1,P1,P1,"P1 with","P1 with","P1 with","P1 with","P1 with","P1 with","P1 with","P1 with","P1 with","P1 with","P1 with","P1 with","P1 with","P1 with","P1 with","P1 with","P1 with","P1 with",P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2," P2 with"," P2 with"," P2 with"," P2 with"," P2 with"," P2 with"," P2 with"," P2 with"," P2 with"," P2 with"," P2 with"," P2 with"," P2 with"," P2 with"," P2 with"," P2 with"," P2 with"," P2 with",P9,P9,P9,P9,P9,P9,P9,P9,P9,P9,P9,P9,P9,P9,P9,P9,P9,P9,"P9 with","P9 with","P9 with","P9 with","P9 with","P9 with","P9 with","P9 with","P9 with","P9 with","P9 with","P9 with","P9 with","P9 with","P9 with","P9 with","P9 with","P9 with",P13,P13,P13,P13,P13,P13,P13,P13,P13,P13,P13,P13,P13,P13,P13,P13,P13,P13,"P13 with","P13 with","P13 with","P13 with","P13 with","P13 with","P13 with","P13 with","P13 with","P13 with","P13 with","P13 with","P13 with","P13 with","P13 with","P13 with","P13 with","P13 with",P14,P14,P14,P14,P14,P14,P14,P14,P14,P14,P14,P14,P14,P14,P14,P14,P14,P14,"P14 with","P14 with","P14 with","P14 with","P14 with","P14 with","P14 with","P14 with","P14 with","P14 with","P14 with","P14 with","P14 with","P14 with","P14 with","P14 with","P14 with","P14 with",Pi1,Pi1,Pi1,Pi1,Pi1,Pi1,Pi1,Pi1,Pi1,Pi1,Pi1,Pi1,Pi1,Pi1,Pi1,Pi1,Pi1,Pi1," Pi1 with"," Pi1 with"," Pi1 with"," Pi1 with"," Pi1 with"," Pi1 with"," Pi1 with"," Pi1 with"," Pi1 with"," Pi1 with"," Pi1 with"," Pi1 with"," Pi1 with"," Pi1 with"," Pi1 with"," Pi1 with"," Pi1 with"," Pi1 with"
0,1230.00,1800.00,2030.00,1100.00,1170.00,2700.00,3350.00,2670.00,2530.00,2500.00,1200.00,1500.00,2870.00,2170.00,1530.00,2800.00,2170.00,2650.00,1230.00,1800.00,2030.0,1100.00,1170.00,2700.00,3350.00,2670.00,2530.00,2500.00,1200.00,1500.00,2870.00,2170.00,1530.00,2800.00,2170.00,2650.00,1230.00,1800.00,2030.0,1100.00,1170.00,2700.00,3350.00,2670.00,2530.00,2500.00,1200.00,1500.00,2870.00,2170.00,1530.00,2800.00,2170.00,2650.00,1230.00,1800.0,2030.0,1100.00,1170.00,2700.00,3350.00,2670.00,2530.00,2500.00,1200.00,1500.00,2870.00,2170.00,1530.00,2800.00,2170.00,2650.00,1230.00,1800.00,2030.00,1100.00,1170.00,2700.00,3350.00,2670.00,2530.00,2500.00,1200.00,1500.00,2870.00,2170.00,1530.00,2800.00,2170.00,2650.00,1230.00,1800.00,2030.0,1100.00,1170.00,2700.00,3350.00,2670.00,2530.00,2500.00,1200.00,1500.00,2870.00,2170.00,1530.00,2800.00,2170.00,2650.00,1230.00,1800.00,2030.00,1100.00,1170.00,2700.00,3350.00,2670.00,2530.00,2500.00,1200.00,1500.00,2870.00,2170.00,1530.00,2800.00,2170.00,2650.00,1230.00,1800.0,2030.0,1100.00,1170.00,2700.00,3350.00,2670.00,2530.00,2500.00,1200.00,1500.00,2870.00,2170.00,1530.00,2800.00,2170.00,2650.00,1230.00,1800.00,2030.0,1100.00,1170.00,2700.00,3350.00,2670.00,2530.00,2500.00,1200.00,1500.00,2870.00,2170.00,1530.00,2800.00,2170.00,2650.00,1230.00,1800.0,2030.0,1100.00,1170.00,2700.00,3350.00,2670.00,2530.00,2500.00,1200.00,1500.00,2870.00,2170.00,1530.00,2800.00,2170.00,2650.00,1230.00,1800.0,2030.0,1100.00,1170.00,2700.00,3350.00,2670.00,2530.00,2500.00,1200.00,1500.00,2870.00,2170.00,1530.00,2800.00,2170.00,2650.00,1230.00,1800.0,2030.0,1100.00,1170.00,2700.00,3350.00,2670.00,2530.00,2500.00,1200.00,1500.00,2870.00,2170.00,1530.00,2800.00,2170.00,2650.00
2,1980.00,2600.00,3070.00,,,,,,,,,,,,,,,,450.00,233.00,533.0,,,,,,,,,,,,,,,,1520.00,2270.00,2970.0,,,,,,,,,,,,,,,,800.00,1030.0,1720.0*,,,,,,,,,,,,,,,,3730.00,2980.00,2050.00,,,,,,,,,,,,,,,,1630.00*,1330.00,1220.0,,,,,,,,,,,,,,,,4050.00,2530.00,1280.00,,,,,,,,,,,,,,,,713.00,500.0,500.0,,,,,,,,,,,,,,,,1820.00,5920.00,767.0,,,,,,,,,,,,,,,,567.00,1170.0,267.0*,,,,,,,,,,,,,,,,3770.00,3030.0,3780.0,,,,,,,,,,,,,,,,817.00,1130.0,1020.0,,,,,,,,,,,,,,,
4,14700.00,22800.00,8880.00,,,,,,,,,,,,,,,,300.00,167.00*,233.0,,,,,,,,,,,,,,,,55500.00,40000.00,34000.0,,,,,,,,,,,,,,,,400.00,733.0,600.0,,,,,,,,,,,,,,,,69200.00,40000.00,16500.00,,,,,,,,,,,,,,,,433.00,433.00,267.0,,,,,,,,,,,,,,,,117000.00,36500.00,20500.00,,,,,,,,,,,,,,,,33.30*,133.0,167.0,,,,,,,,,,,,,,,,8000.00,66700.00,12900.0,,,,,,,,,,,,,,,,100.00,400.0,1.0*,,,,,,,,,,,,,,,,31000.00,26000.0,49400.0,,,,,,,,,,,,,,,,100.00,133.0,66.7,,,,,,,,,,,,,,,
6,2290000.00,300000.00,433000.00,,,,,,,,,,,,,,,,200.00,200.00,100.0,,,,,,,,,,,,,,,,3000000.00,1450000.00,1900000.0,,,,,,,,,,,,,,,,100.00,100.0,33.3,,,,,,,,,,,,,,,,4000000.00,1050000.00,717000.00,,,,,,,,,,,,,,,,133.00,167.00,100.0,,,,,,,,,,,,,,,,7650000.00,1380000.00,967000.00,,,,,,,,,,,,,,,,33.30,100.0,0.0,,,,,,,,,,,,,,,,4300000.00,1900000.00,533000.0,,,,,,,,,,,,,,,,33.30,100.0,66.7,,,,,,,,,,,,,,,,5970000.00,200000.0,1230000.0,,,,,,,,,,,,,,,,66.70,1.0,1.0,,,,,,,,,,,,,,,
24,3.09e+008,2.95e+008,3.97e+008,,,,,,,,,,,,,,,,1.00,1.00,1.0,,,,,,,,,,,,,,,,5.53e+008,2.07e+008,4.4e+008,,,,,,,,,,,,,,,,1.00,1.0,1.0,,,,,,,,,,,,,,,,4.63e+008,2.48e+008,2.83e+008,,,,,,,,,,,,,,,,1.00,1.00,1.0,,,,,,,,,,,,,,,,3.73e+008,3.23e+008,5.17e+008,,,,,,,,,,,,,,,,1.00,1.0,0.0,,,,,,,,,,,,,,,,4.25e+008,2.05e+008,5.0e+007,,,,,,,,,,,,,,,,1.00,1.0,1.0,,,,,,,,,,,,,,,,2.40e+008,2.2e+008,2.6e+008,,,,,,,,,,,,,,,,1.00,1.0,1.0,,,,,,,,,,,,,,,
